WTK	ID
"POLYGON ((10.581561 44.655874, 10.581561 44.659478299999996, 10.58721895 44.659478299999996, 10.58721895 44.655874, 10.581561 44.655874))"	0,0
"POLYGON ((10.58721895 44.655874, 10.58721895 44.659478299999996, 10.5928769 44.659478299999996, 10.5928769 44.655874, 10.58721895 44.655874))"	0,1
"POLYGON ((10.6381405 44.655874, 10.6381405 44.659478299999996, 10.64379845 44.659478299999996, 10.64379845 44.655874, 10.6381405 44.655874))"	0,10
"POLYGON ((10.64379845 44.655874, 10.64379845 44.659478299999996, 10.6494564 44.659478299999996, 10.6494564 44.655874, 10.64379845 44.655874))"	0,11
"POLYGON ((10.6494564 44.655874, 10.6494564 44.659478299999996, 10.65511435 44.659478299999996, 10.65511435 44.655874, 10.6494564 44.655874))"	0,12
"POLYGON ((10.65511435 44.655874, 10.65511435 44.659478299999996, 10.6607723 44.659478299999996, 10.6607723 44.655874, 10.65511435 44.655874))"	0,13
"POLYGON ((10.6607723 44.655874, 10.6607723 44.659478299999996, 10.666430250000001 44.659478299999996, 10.666430250000001 44.655874, 10.6607723 44.655874))"	0,14
"POLYGON ((10.666430250000001 44.655874, 10.666430250000001 44.659478299999996, 10.672088200000001 44.659478299999996, 10.672088200000001 44.655874, 10.666430250000001 44.655874))"	0,15
"POLYGON ((10.672088200000001 44.655874, 10.672088200000001 44.659478299999996, 10.67774615 44.659478299999996, 10.67774615 44.655874, 10.672088200000001 44.655874))"	0,16
"POLYGON ((10.67774615 44.655874, 10.67774615 44.659478299999996, 10.6834041 44.659478299999996, 10.6834041 44.655874, 10.67774615 44.655874))"	0,17
"POLYGON ((10.6834041 44.655874, 10.6834041 44.659478299999996, 10.68906205 44.659478299999996, 10.68906205 44.655874, 10.6834041 44.655874))"	0,18
"POLYGON ((10.68906205 44.655874, 10.68906205 44.659478299999996, 10.69472 44.659478299999996, 10.69472 44.655874, 10.68906205 44.655874))"	0,19
"POLYGON ((10.5928769 44.655874, 10.5928769 44.659478299999996, 10.59853485 44.659478299999996, 10.59853485 44.655874, 10.5928769 44.655874))"	0,2
"POLYGON ((10.59853485 44.655874, 10.59853485 44.659478299999996, 10.6041928 44.659478299999996, 10.6041928 44.655874, 10.59853485 44.655874))"	0,3
"POLYGON ((10.6041928 44.655874, 10.6041928 44.659478299999996, 10.60985075 44.659478299999996, 10.60985075 44.655874, 10.6041928 44.655874))"	0,4
"POLYGON ((10.60985075 44.655874, 10.60985075 44.659478299999996, 10.615508700000001 44.659478299999996, 10.615508700000001 44.655874, 10.60985075 44.655874))"	0,5
"POLYGON ((10.615508700000001 44.655874, 10.615508700000001 44.659478299999996, 10.621166650000001 44.659478299999996, 10.621166650000001 44.655874, 10.615508700000001 44.655874))"	0,6
"POLYGON ((10.621166650000001 44.655874, 10.621166650000001 44.659478299999996, 10.6268246 44.659478299999996, 10.6268246 44.655874, 10.621166650000001 44.655874))"	0,7
"POLYGON ((10.6268246 44.655874, 10.6268246 44.659478299999996, 10.63248255 44.659478299999996, 10.63248255 44.655874, 10.6268246 44.655874))"	0,8
"POLYGON ((10.63248255 44.655874, 10.63248255 44.659478299999996, 10.6381405 44.659478299999996, 10.6381405 44.655874, 10.63248255 44.655874))"	0,9
"POLYGON ((10.581561 44.659478299999996, 10.581561 44.663082599999996, 10.58721895 44.663082599999996, 10.58721895 44.659478299999996, 10.581561 44.659478299999996))"	1,0
"POLYGON ((10.58721895 44.659478299999996, 10.58721895 44.663082599999996, 10.5928769 44.663082599999996, 10.5928769 44.659478299999996, 10.58721895 44.659478299999996))"	1,1
"POLYGON ((10.6381405 44.659478299999996, 10.6381405 44.663082599999996, 10.64379845 44.663082599999996, 10.64379845 44.659478299999996, 10.6381405 44.659478299999996))"	1,10
"POLYGON ((10.64379845 44.659478299999996, 10.64379845 44.663082599999996, 10.6494564 44.663082599999996, 10.6494564 44.659478299999996, 10.64379845 44.659478299999996))"	1,11
"POLYGON ((10.6494564 44.659478299999996, 10.6494564 44.663082599999996, 10.65511435 44.663082599999996, 10.65511435 44.659478299999996, 10.6494564 44.659478299999996))"	1,12
"POLYGON ((10.65511435 44.659478299999996, 10.65511435 44.663082599999996, 10.6607723 44.663082599999996, 10.6607723 44.659478299999996, 10.65511435 44.659478299999996))"	1,13
"POLYGON ((10.6607723 44.659478299999996, 10.6607723 44.663082599999996, 10.666430250000001 44.663082599999996, 10.666430250000001 44.659478299999996, 10.6607723 44.659478299999996))"	1,14
"POLYGON ((10.666430250000001 44.659478299999996, 10.666430250000001 44.663082599999996, 10.672088200000001 44.663082599999996, 10.672088200000001 44.659478299999996, 10.666430250000001 44.659478299999996))"	1,15
"POLYGON ((10.672088200000001 44.659478299999996, 10.672088200000001 44.663082599999996, 10.67774615 44.663082599999996, 10.67774615 44.659478299999996, 10.672088200000001 44.659478299999996))"	1,16
"POLYGON ((10.67774615 44.659478299999996, 10.67774615 44.663082599999996, 10.6834041 44.663082599999996, 10.6834041 44.659478299999996, 10.67774615 44.659478299999996))"	1,17
"POLYGON ((10.6834041 44.659478299999996, 10.6834041 44.663082599999996, 10.68906205 44.663082599999996, 10.68906205 44.659478299999996, 10.6834041 44.659478299999996))"	1,18
"POLYGON ((10.68906205 44.659478299999996, 10.68906205 44.663082599999996, 10.69472 44.663082599999996, 10.69472 44.659478299999996, 10.68906205 44.659478299999996))"	1,19
"POLYGON ((10.5928769 44.659478299999996, 10.5928769 44.663082599999996, 10.59853485 44.663082599999996, 10.59853485 44.659478299999996, 10.5928769 44.659478299999996))"	1,2
"POLYGON ((10.59853485 44.659478299999996, 10.59853485 44.663082599999996, 10.6041928 44.663082599999996, 10.6041928 44.659478299999996, 10.59853485 44.659478299999996))"	1,3
"POLYGON ((10.6041928 44.659478299999996, 10.6041928 44.663082599999996, 10.60985075 44.663082599999996, 10.60985075 44.659478299999996, 10.6041928 44.659478299999996))"	1,4
"POLYGON ((10.60985075 44.659478299999996, 10.60985075 44.663082599999996, 10.615508700000001 44.663082599999996, 10.615508700000001 44.659478299999996, 10.60985075 44.659478299999996))"	1,5
"POLYGON ((10.615508700000001 44.659478299999996, 10.615508700000001 44.663082599999996, 10.621166650000001 44.663082599999996, 10.621166650000001 44.659478299999996, 10.615508700000001 44.659478299999996))"	1,6
"POLYGON ((10.621166650000001 44.659478299999996, 10.621166650000001 44.663082599999996, 10.6268246 44.663082599999996, 10.6268246 44.659478299999996, 10.621166650000001 44.659478299999996))"	1,7
"POLYGON ((10.6268246 44.659478299999996, 10.6268246 44.663082599999996, 10.63248255 44.663082599999996, 10.63248255 44.659478299999996, 10.6268246 44.659478299999996))"	1,8
"POLYGON ((10.63248255 44.659478299999996, 10.63248255 44.663082599999996, 10.6381405 44.663082599999996, 10.6381405 44.659478299999996, 10.63248255 44.659478299999996))"	1,9
"POLYGON ((10.581561 44.691917000000004, 10.581561 44.6955213, 10.58721895 44.6955213, 10.58721895 44.691917000000004, 10.581561 44.691917000000004))"	10,0
"POLYGON ((10.58721895 44.691917000000004, 10.58721895 44.6955213, 10.5928769 44.6955213, 10.5928769 44.691917000000004, 10.58721895 44.691917000000004))"	10,1
"POLYGON ((10.6381405 44.691917000000004, 10.6381405 44.6955213, 10.64379845 44.6955213, 10.64379845 44.691917000000004, 10.6381405 44.691917000000004))"	10,10
"POLYGON ((10.64379845 44.691917000000004, 10.64379845 44.6955213, 10.6494564 44.6955213, 10.6494564 44.691917000000004, 10.64379845 44.691917000000004))"	10,11
"POLYGON ((10.6494564 44.691917000000004, 10.6494564 44.6955213, 10.65511435 44.6955213, 10.65511435 44.691917000000004, 10.6494564 44.691917000000004))"	10,12
"POLYGON ((10.65511435 44.691917000000004, 10.65511435 44.6955213, 10.6607723 44.6955213, 10.6607723 44.691917000000004, 10.65511435 44.691917000000004))"	10,13
"POLYGON ((10.6607723 44.691917000000004, 10.6607723 44.6955213, 10.666430250000001 44.6955213, 10.666430250000001 44.691917000000004, 10.6607723 44.691917000000004))"	10,14
"POLYGON ((10.666430250000001 44.691917000000004, 10.666430250000001 44.6955213, 10.672088200000001 44.6955213, 10.672088200000001 44.691917000000004, 10.666430250000001 44.691917000000004))"	10,15
"POLYGON ((10.672088200000001 44.691917000000004, 10.672088200000001 44.6955213, 10.67774615 44.6955213, 10.67774615 44.691917000000004, 10.672088200000001 44.691917000000004))"	10,16
"POLYGON ((10.67774615 44.691917000000004, 10.67774615 44.6955213, 10.6834041 44.6955213, 10.6834041 44.691917000000004, 10.67774615 44.691917000000004))"	10,17
"POLYGON ((10.6834041 44.691917000000004, 10.6834041 44.6955213, 10.68906205 44.6955213, 10.68906205 44.691917000000004, 10.6834041 44.691917000000004))"	10,18
"POLYGON ((10.68906205 44.691917000000004, 10.68906205 44.6955213, 10.69472 44.6955213, 10.69472 44.691917000000004, 10.68906205 44.691917000000004))"	10,19
"POLYGON ((10.5928769 44.691917000000004, 10.5928769 44.6955213, 10.59853485 44.6955213, 10.59853485 44.691917000000004, 10.5928769 44.691917000000004))"	10,2
"POLYGON ((10.59853485 44.691917000000004, 10.59853485 44.6955213, 10.6041928 44.6955213, 10.6041928 44.691917000000004, 10.59853485 44.691917000000004))"	10,3
"POLYGON ((10.6041928 44.691917000000004, 10.6041928 44.6955213, 10.60985075 44.6955213, 10.60985075 44.691917000000004, 10.6041928 44.691917000000004))"	10,4
"POLYGON ((10.60985075 44.691917000000004, 10.60985075 44.6955213, 10.615508700000001 44.6955213, 10.615508700000001 44.691917000000004, 10.60985075 44.691917000000004))"	10,5
"POLYGON ((10.615508700000001 44.691917000000004, 10.615508700000001 44.6955213, 10.621166650000001 44.6955213, 10.621166650000001 44.691917000000004, 10.615508700000001 44.691917000000004))"	10,6
"POLYGON ((10.621166650000001 44.691917000000004, 10.621166650000001 44.6955213, 10.6268246 44.6955213, 10.6268246 44.691917000000004, 10.621166650000001 44.691917000000004))"	10,7
"POLYGON ((10.6268246 44.691917000000004, 10.6268246 44.6955213, 10.63248255 44.6955213, 10.63248255 44.691917000000004, 10.6268246 44.691917000000004))"	10,8
"POLYGON ((10.63248255 44.691917000000004, 10.63248255 44.6955213, 10.6381405 44.6955213, 10.6381405 44.691917000000004, 10.63248255 44.691917000000004))"	10,9
"POLYGON ((10.581561 44.6955213, 10.581561 44.6991256, 10.58721895 44.6991256, 10.58721895 44.6955213, 10.581561 44.6955213))"	11,0
"POLYGON ((10.58721895 44.6955213, 10.58721895 44.6991256, 10.5928769 44.6991256, 10.5928769 44.6955213, 10.58721895 44.6955213))"	11,1
"POLYGON ((10.6381405 44.6955213, 10.6381405 44.6991256, 10.64379845 44.6991256, 10.64379845 44.6955213, 10.6381405 44.6955213))"	11,10
"POLYGON ((10.64379845 44.6955213, 10.64379845 44.6991256, 10.6494564 44.6991256, 10.6494564 44.6955213, 10.64379845 44.6955213))"	11,11
"POLYGON ((10.6494564 44.6955213, 10.6494564 44.6991256, 10.65511435 44.6991256, 10.65511435 44.6955213, 10.6494564 44.6955213))"	11,12
"POLYGON ((10.65511435 44.6955213, 10.65511435 44.6991256, 10.6607723 44.6991256, 10.6607723 44.6955213, 10.65511435 44.6955213))"	11,13
